order_item_id,order_id,product_id,quantity,unit_price
1,1,125,2,133.18
2,2,106,2,91.82
3,2,36,1,370.82
4,2,425,2,65.97
5,3,107,2,1350.51
6,4,417,3,251.32
7,5,169,1,29.48
8,5,397,2,2597.75
9,6,2,2,494.1
10,6,142,2,35.71
11,7,67,1,111.36
12,7,277,1,386.78
13,7,129,1,27.56
14,7,409,1,2535.03
15,8,339,1,1386.94
16,8,444,2,114.35
17,8,14,1,577.77
18,9,184,1,2205.58
19,9,405,1,43.15
20,9,404,1,375.78
21,10,166,1,668.8
22,11,136,2,227.68
23,11,27,2,162.22
24,11,65,1,93.55
25,12,270,1,90.94
26,13,244,1,105.83
27,14,263,2,58.34
28,15,232,1,1311.91
29,16,485,1,69.88
30,17,373,1,302.78
31,17,402,2,261.45
32,18,155,1,428.75
33,18,235,2,77.67
34,18,330,1,181.74
35,18,494,1,594.64
36,19,246,2,91.01
37,19,434,1,96.74
38,20,352,1,2356.06
39,20,56,1,239.7
40,21,38,1,64.74
41,22,165,1,70.25
42,22,312,2,43.07
43,22,76,1,210.66
44,23,141,1,420.1
45,23,320,1,206.9
46,24,281,1,613.72
47,24,365,1,237.97
48,24,167,1,865.59
49,24,196,1,969.48
50,24,306,1,120.3
51,25,233,3,249.35
52,25,259,1,484.34
53,26,51,1,282.06
54,27,437,1,44.67
55,27,336,1,16.98
56,28,370,1,70.59
57,29,221,1,192.08
58,30,212,1,2206.54
59,31,205,1,488.11
60,32,161,1,130.22
61,32,219,2,86.64
62,33,192,1,587.83
63,33,489,2,2695.15
64,33,79,2,250.15
65,33,352,2,2197.3
66,34,35,1,719.66
67,34,47,1,1023.34
68,34,426,1,289.48
69,35,222,1,178.91
70,35,50,1,65.07
71,36,416,2,141.8
72,36,67,1,134.46
73,37,301,2,238.64
74,38,288,1,389.15
75,38,169,1,35.7
76,38,344,1,337.78
77,39,182,2,22.27
78,40,445,2,208.13
79,41,496,1,190.88
80,41,148,1,229.77
81,41,308,1,153.69
82,42,54,1,467.16
83,42,296,1,66.11
84,43,80,2,450.42
85,44,115,2,1623.36
86,44,434,1,94.1
87,44,56,1,274.09
88,44,180,2,97.6
89,45,189,2,58.69
90,45,59,2,20.1
91,45,391,1,469.68
92,45,143,1,214.58
93,45,294,1,199.43
94,46,433,1,82.3
95,47,14,1,612.82
96,47,312,1,38.9
97,47,476,1,734.6
98,48,15,1,600.99
99,49,360,3,251.54
100,50,472,1,2763.66
101,50,174,1,38.29
102,50,180,1,96.95
103,50,4,1,66.0
104,50,93,1,215.02
105,51,290,1,174.56
106,51,337,1,2323.25
107,51,206,1,22.79
108,52,380,1,88.95
109,52,325,1,259.46
110,52,498,1,38.91
111,52,16,2,33.05
112,53,111,1,84.26
113,54,233,1,258.84
114,55,190,2,92.2
115,55,160,1,2138.89
116,55,370,1,64.71
117,56,306,1,94.75
118,57,80,2,437.92
119,57,81,1,599.54
120,58,346,1,1701.81
121,59,227,2,482.88
122,60,249,2,289.99
123,60,311,1,291.96
124,61,140,1,2436.2
125,61,111,2,109.51
126,62,59,1,20.31
127,63,57,1,343.38
128,64,250,1,702.49
129,65,24,1,980.93
130,65,113,2,101.89
131,66,29,1,1789.84
132,67,155,1,430.21
133,68,393,1,116.99
134,69,149,1,43.78
135,69,168,1,72.38
136,69,62,1,214.07
137,70,383,1,162.09
138,70,221,2,190.17
139,70,90,1,140.72
140,71,273,1,379.78
141,71,361,1,1091.16
142,71,118,1,659.85
143,72,427,1,1291.37
144,72,343,2,71.4
145,73,37,2,848.08
146,73,204,1,616.56
147,74,224,2,209.18
148,75,472,1,2837.96
149,75,40,1,150.58
150,75,442,3,818.06
151,75,161,1,128.1
152,76,294,1,189.14
153,76,208,1,1680.34
154,76,364,1,434.03
155,77,149,1,50.67
156,78,11,2,152.35
157,78,495,1,51.34
158,79,411,1,116.73
159,79,486,2,286.32
160,79,317,1,1275.41
161,80,46,2,2114.33
162,80,224,2,183.45
163,81,125,1,121.86
