order_id,customer_id,order_date,total_amount,status
1,5465,2024-10-26,266.36,Entregue
2,9251,2024-03-05,686.4,Processando
3,9081,2024-01-25,2701.02,Entregue
4,3539,2024-03-19,753.96,Entregue
5,3818,2024-11-28,5224.98,Entregue
6,9765,2024-12-05,1059.62,Cancelado
7,2371,2024-07-28,3060.73,Entregue
8,1802,2024-11-06,2193.41,Entregue
9,244,2024-10-05,2624.51,Entregue
10,9648,2024-06-08,668.8,Processando
11,2855,2024-06-01,873.35,Entregue
12,6898,2024-12-24,90.94,Entregue
13,1042,2024-02-04,105.83,Entregue
14,5932,2024-09-15,116.68,Entregue
15,1787,2024-09-19,1311.91,Entregue
16,3630,2024-05-17,69.88,Entregue
17,711,2024-04-20,825.68,Entregue
18,8544,2024-02-28,1360.47,Processando
19,997,2024-09-01,278.76,Entregue
20,6985,2024-12-13,2595.76,Entregue
21,7268,2024-04-16,64.74,Entregue
22,1324,2024-05-29,367.05,Entregue
23,2068,2024-08-03,627.0,Entregue
24,9591,2024-08-21,2807.06,Entregue
25,4832,2024-02-17,1232.39,Entregue
26,7049,2024-11-20,282.06,Entregue
27,1875,2024-12-26,61.65,Entregue
28,9034,2024-06-21,70.59,Entregue
29,3523,2024-05-28,192.08,Entregue
30,3744,2024-01-15,2206.54,Entregue
31,7431,2024-05-11,488.11,Entregue
32,1558,2024-09-14,303.5,Entregue
33,4177,2024-02-11,10873.03,Entregue
34,7771,2024-03-30,2032.48,Entregue
35,1528,2024-06-03,243.98,Entregue
36,6106,2024-12-24,418.06,Entregue
37,983,2024-09-18,477.28,Entregue
38,9202,2024-08-31,762.63,Processando
39,6731,2024-10-04,44.54,Processando
40,6930,2024-11-28,416.26,Entregue
41,843,2024-04-30,574.34,Entregue
42,5762,2024-12-10,533.27,Entregue
43,3486,2024-07-17,900.84,Entregue
44,7901,2024-08-22,3810.11,Entregue
45,9114,2024-07-28,1041.27,Entregue
46,7031,2024-01-08,82.3,Entregue
47,9122,2024-05-18,1386.32,Entregue
48,4382,2024-06-22,600.99,Processando
49,4478,2024-01-06,754.62,Entregue
50,5063,2024-06-25,3179.92,Entregue
51,2348,2024-08-28,2520.6,Entregue
52,2325,2024-03-03,453.42,Processando
53,8692,2024-01-03,84.26,Entregue
54,6879,2024-02-13,258.84,Entregue
55,2579,2024-02-11,2388.0,Entregue
56,9300,2024-12-11,94.75,Entregue
57,862,2024-03-03,1475.38,Entregue
58,816,2024-06-25,1701.81,Entregue
59,4459,2024-08-03,965.76,Entregue
60,6948,2024-03-22,871.94,Processando
61,6786,2024-04-15,2655.22,Entregue
62,8395,2024-08-25,20.31,Entregue
63,7044,2024-02-12,343.38,Entregue
64,9718,2024-11-10,702.49,Entregue
65,5054,2024-11-17,1184.71,Entregue
66,9820,2024-06-13,1789.84,Entregue
67,3350,2024-02-01,430.21,Entregue
68,3461,2024-05-31,116.99,Entregue
69,4187,2024-09-05,330.23,Processando
70,8150,2024-09-01,683.15,Entregue
71,6230,2024-04-05,2130.79,Entregue
72,9155,2024-03-17,1434.17,Cancelado
73,5803,2024-11-26,2312.72,Entregue
74,694,2024-12-28,418.36,Processando
75,7533,2024-03-01,5570.82,Entregue
76,7034,2024-11-19,2303.51,Entregue
77,6844,2024-05-21,50.67,Entregue
78,6637,2024-11-04,356.04,Entregue
79,2816,2024-11-11,1964.78,Entregue
80,5929,2024-06-15,4595.56,Entregue
81,1735,2024-06-28,121.86,Entregue
82,9649,2024-05-14,21.86,Entregue
83,1289,2024-12-17,27.32,Entregue
84,5084,2024-12-28,574.59,Entregue
85,3631,2024-12-11,971.28,Entregue
86,1252,2024-09-06,2751.53,Entregue
87,8694,2024-11-04,9100.2,Entregue
88,5725,2024-12-07,93.64,Cancelado
89,2420,2024-10-24,3233.9,Entregue
90,3233,2024-11-09,1479.48,Entregue
91,2505,2024-11-20,740.28,Entregue
92,1235,2024-04-21,577.92,Entregue
93,8096,2024-11-25,931.6,Entregue
94,9495,2024-08-19,2154.64,Entregue
95,9249,2024-10-29,822.1,Entregue
96,5296,2024-01-20,203.0,Entregue
97,5180,2024-03-21,2396.46,Entregue
